batch_size,256
masking_ratio,0.15
lm,12
d_model,256
dropout,0.1
num_heads,4
num_layers,3
Epoch,Train Loss,Val Loss
1,0.06807295800368676,0.005876205504561464
2,0.026224270548628664,0.008346313207099835
3,0.02078608718925509,0.03128017398218314
4,0.02360627885865069,0.003164618865897258
5,0.015983540008122892,0.00178237264820685
6,0.014230576161851829,0.002326588456829389
7,0.014087171764808825,0.0075102413383622965
8,0.01275668848284531,0.00987377023945252
9,0.01422766465479615,0.00325923014121751
10,0.011349961916305896,0.004247711614395181
11,0.011169385892906409,0.005032891205822428
12,0.010515587773687881,0.002396193884002666
13,0.012493649294235926,0.0014137125845688084
14,0.009958468746907752,0.0023094362036014597
15,0.01060010095116222,0.0011399833175043264
Numero epoche,15
Tempo tot,599.2855448722839
Tempo per epoca,39.952369658152264
